login,user_url,html_url,repos_url,followers,repo_details,label
justinfrench,https://api.github.com/users/justinfrench,https://github.com/justinfrench,https://api.github.com/users/justinfrench/repos,332,"[{'language': 'Ruby', 'stars': 9, 'forks': 0, 'watchers': 9}, {'language': 'Ruby', 'stars': 32, 'forks': 1, 'watchers': 32}, {'language': 'Ruby', 'stars': 6, 'forks': 1, 'watchers': 6}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 4, 'forks': 1, 'watchers': 4}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}]",bad
hirmsn,https://api.github.com/users/hirmsn,https://github.com/hirmsn,https://api.github.com/users/hirmsn/repos,4,[],bad
kb,https://api.github.com/users/kb,https://github.com/kb,https://api.github.com/users/kb/repos,57,"[{'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Emacs Lisp', 'stars': 3, 'forks': 0, 'watchers': 3}, {'language': 'Go', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Emacs Lisp', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'CSS', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 9, 'forks': 2, 'watchers': 9}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 1, 'watchers': 1}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Objective-C', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Elixir', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}]",bad
jaegerpicker,https://api.github.com/users/jaegerpicker,https://github.com/jaegerpicker,https://api.github.com/users/jaegerpicker/repos,24,"[{'language': 'C', 'stars': 3, 'forks': 15, 'watchers': 3}, {'language': 'Shell', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Emacs Lisp', 'stars': 0, 'forks': 1, 'watchers': 0}, {'language': 'Java', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C++', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C++', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C#', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Jupyter Notebook', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C#', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Go', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C#', 'stars': 8, 'forks': 0, 'watchers': 8}, {'language': 'C#', 'stars': 3, 'forks': 4, 'watchers': 3}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Swift', 'stars': 2, 'forks': 0, 'watchers': 2}, {'language': 'Swift', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Swift', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Swift', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Swift', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Swift', 'stars': 0, 'forks': 0, 'watchers': 0}]",bad
alvaromateus,https://api.github.com/users/alvaromateus,https://github.com/alvaromateus,https://api.github.com/users/alvaromateus/repos,7,"[{'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Java', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 2, 'forks': 2, 'watchers': 2}, {'language': None, 'stars': 5, 'forks': 0, 'watchers': 5}, {'language': 'Ruby', 'stars': 2, 'forks': 0, 'watchers': 2}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Jupyter Notebook', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'PHP', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'HTML', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}]",bad
Aksim,https://api.github.com/users/Aksim,https://github.com/Aksim,https://api.github.com/users/Aksim/repos,4,[],bad
gonium,https://api.github.com/users/gonium,https://github.com/gonium,https://api.github.com/users/gonium/repos,66,"[{'language': None, 'stars': 3, 'forks': 0, 'watchers': 3}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Java', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'HTML', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Go', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C', 'stars': 0, 'forks': 4, 'watchers': 0}, {'language': 'Python', 'stars': 5, 'forks': 2, 'watchers': 5}, {'language': 'C++', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C++', 'stars': 2, 'forks': 0, 'watchers': 2}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'CSS', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Shell', 'stars': 2, 'forks': 1, 'watchers': 2}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C++', 'stars': 131, 'forks': 24, 'watchers': 131}, {'language': 'C', 'stars': 1, 'forks': 1, 'watchers': 1}, {'language': 'TeX', 'stars': 44, 'forks': 12, 'watchers': 44}, {'language': 'C++', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 2, 'forks': 0, 'watchers': 2}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Go', 'stars': 3, 'forks': 0, 'watchers': 3}, {'language': 'Go', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Go', 'stars': 70, 'forks': 16, 'watchers': 70}, {'language': 'Go', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Go', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Jupyter Notebook', 'stars': 2, 'forks': 0, 'watchers': 2}, {'language': 'Ruby', 'stars': 11, 'forks': 4, 'watchers': 11}, {'language': 'Go', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C++', 'stars': 5, 'forks': 2, 'watchers': 5}, {'language': 'C++', 'stars': 3, 'forks': 1, 'watchers': 3}]",good
jjames,https://api.github.com/users/jjames,https://github.com/jjames,https://api.github.com/users/jjames/repos,11,"[{'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Groovy', 'stars': 1, 'forks': 0, 'watchers': 1}]",bad
jf,https://api.github.com/users/jf,https://github.com/jf,https://api.github.com/users/jf/repos,27,"[{'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Go', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Clojure', 'stars': 10, 'forks': 0, 'watchers': 10}, {'language': 'Clojure', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Clojure', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 2, 'forks': 0, 'watchers': 2}, {'language': 'Ruby', 'stars': 4, 'forks': 0, 'watchers': 4}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Go', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Emacs Lisp', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'HTML', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 4, 'forks': 0, 'watchers': 4}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 4, 'forks': 2, 'watchers': 4}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}]",bad
burnthand,https://api.github.com/users/burnthand,https://github.com/burnthand,https://api.github.com/users/burnthand/repos,3,[],bad
quikdraw2700,https://api.github.com/users/quikdraw2700,https://github.com/quikdraw2700,https://api.github.com/users/quikdraw2700/repos,21,"[{'language': 'Ruby', 'stars': 2, 'forks': 1, 'watchers': 2}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Makefile', 'stars': 3, 'forks': 0, 'watchers': 3}]",bad
ewout,https://api.github.com/users/ewout,https://github.com/ewout,https://api.github.com/users/ewout/repos,13,"[{'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'CSS', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Jupyter Notebook', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'PHP', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Jupyter Notebook', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'PHP', 'stars': 2, 'forks': 0, 'watchers': 2}, {'language': 'PHP', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'PHP', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'PHP', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 2, 'forks': 1, 'watchers': 2}, {'language': 'Python', 'stars': 4, 'forks': 1, 'watchers': 4}, {'language': None, 'stars': 3, 'forks': 0, 'watchers': 3}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}]",bad
bhushangahire,https://api.github.com/users/bhushangahire,https://github.com/bhushangahire,https://api.github.com/users/bhushangahire/repos,13,"[{'language': 'JavaScript', 'stars': 1, 'forks': 1, 'watchers': 1}, {'language': 'Objective-C', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'JavaScript', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Shell', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'C++', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Ruby', 'stars': 1, 'forks': 1, 'watchers': 1}, {'language': 'Ruby', 'stars': 1, 'forks': 1, 'watchers': 1}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 1, 'watchers': 1}, {'language': 'Ruby', 'stars': 1, 'forks': 1, 'watchers': 1}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': None, 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ruby', 'stars': 1, 'forks': 0, 'watchers': 1}]",bad
workingtechnology,https://api.github.com/users/workingtechnology,https://github.com/workingtechnology,https://api.github.com/users/workingtechnology/repos,2,"[{'language': 'VimL', 'stars': 0, 'forks': 0, 'watchers': 0}]",bad
BDizzle,https://api.github.com/users/BDizzle,https://github.com/BDizzle,https://api.github.com/users/BDizzle/repos,13,"[{'language': 'C#', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C++', 'stars': 2, 'forks': 0, 'watchers': 2}, {'language': 'C', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': None, 'stars': 2, 'forks': 1, 'watchers': 2}, {'language': 'C#', 'stars': 0, 'forks': 1, 'watchers': 0}]",bad
dududoor,https://api.github.com/users/dududoor,https://github.com/dududoor,https://api.github.com/users/dududoor/repos,4,[],bad
jbcrail,https://api.github.com/users/jbcrail,https://github.com/jbcrail,https://api.github.com/users/jbcrail/repos,79,"[{'language': 'C', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Makefile', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Go', 'stars': 1, 'forks': 1, 'watchers': 1}, {'language': None, 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Rust', 'stars': 2, 'forks': 2, 'watchers': 2}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Rust', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'C', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 3, 'forks': 0, 'watchers': 3}, {'language': 'Ruby', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'JavaScript', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Shell', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Rust', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Ragel in Ruby Host', 'stars': 1, 'forks': 0, 'watchers': 1}, {'language': 'PHP', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Shell', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Python', 'stars': 0, 'forks': 0, 'watchers': 0}, {'language': 'Shell', 'stars': 0, 'forks': 0, 'watchers': 0}]",bad
alexander,https://api.github.com/users/alexander,https://github.com/alexander,https://api.github.com/users/alexander/repos,9,[],bad
CaptainHoneyBadger,https://api.github.com/users/CaptainHoneyBadger,https://github.com/CaptainHoneyBadger,https://api.github.com/users/CaptainHoneyBadger/repos,4,[],bad
