login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages
AndrewIngram,https://api.github.com/users/AndrewIngram,https://github.com/AndrewIngram,https://api.github.com/users/AndrewIngram/repos,171,1410,180,1410,"{'Python', 'JavaScript', 'HTML', 'Dockerfile'}"
jimmystridh,https://api.github.com/users/jimmystridh,https://github.com/jimmystridh,https://api.github.com/users/jimmystridh/repos,40,5,3,5,"{'PHP', 'SourcePawn', 'JavaScript', 'C#', 'Shell', 'Go', 'Python', 'Java'}"
XEODesign,https://api.github.com/users/XEODesign,https://github.com/XEODesign,https://api.github.com/users/XEODesign/repos,7,0,0,0,set()
alfonsoadriasola-zz,https://api.github.com/users/alfonsoadriasola-zz,https://github.com/alfonsoadriasola-zz,https://api.github.com/users/alfonsoadriasola-zz/repos,7,4,0,4,"{'Ruby', 'JavaScript'}"
AlexanderNelzin,https://api.github.com/users/AlexanderNelzin,https://github.com/AlexanderNelzin,https://api.github.com/users/AlexanderNelzin/repos,5,3,0,3,"{'Ruby', 'ActionScript'}"
Sion,https://api.github.com/users/Sion,https://github.com/Sion,https://api.github.com/users/Sion/repos,3,0,0,0,set()
penkz,https://api.github.com/users/penkz,https://github.com/penkz,https://api.github.com/users/penkz/repos,11,0,0,0,{'Shell'}
padolsey,https://api.github.com/users/padolsey,https://github.com/padolsey,https://api.github.com/users/padolsey/repos,1110,1079,191,1079,"{'Python', 'JavaScript', 'TypeScript'}"
octavioh,https://api.github.com/users/octavioh,https://github.com/octavioh,https://api.github.com/users/octavioh/repos,2,2,0,2,{'C#'}
frdaniel,https://api.github.com/users/frdaniel,https://github.com/frdaniel,https://api.github.com/users/frdaniel/repos,7,0,0,0,set()
timlinquist,https://api.github.com/users/timlinquist,https://github.com/timlinquist,https://api.github.com/users/timlinquist/repos,18,23,5,23,"{'PHP', 'Ruby', 'Vim script', 'Clojure', 'VimL', 'JavaScript', 'Shell', 'HTML', 'HCL'}"
ulrik,https://api.github.com/users/ulrik,https://github.com/ulrik,https://api.github.com/users/ulrik/repos,4,9,0,9,{'Ruby'}
stremph,https://api.github.com/users/stremph,https://github.com/stremph,https://api.github.com/users/stremph/repos,5,0,0,0,set()
Genoc,https://api.github.com/users/Genoc,https://github.com/Genoc,https://api.github.com/users/Genoc/repos,8,3,4,3,"{'Python', 'JavaScript', 'Jupyter Notebook', 'Shell'}"
niefan,https://api.github.com/users/niefan,https://github.com/niefan,https://api.github.com/users/niefan/repos,3,0,0,0,"{'Ruby', 'C++', 'Objective-C', 'Objective-C++', 'JavaScript', 'C#', 'CoffeeScript', 'Swift'}"
fujisho,https://api.github.com/users/fujisho,https://github.com/fujisho,https://api.github.com/users/fujisho/repos,4,3,0,3,"{'Python', 'C++'}"
khelal,https://api.github.com/users/khelal,https://github.com/khelal,https://api.github.com/users/khelal/repos,12,0,0,0,"{'Ruby', 'HTML'}"
markmalone,https://api.github.com/users/markmalone,https://github.com/markmalone,https://api.github.com/users/markmalone/repos,5,0,0,0,{'Java'}
Halfbin,https://api.github.com/users/Halfbin,https://github.com/Halfbin,https://api.github.com/users/Halfbin/repos,4,1,0,1,"{'C++', 'C', 'Haskell', 'Shell'}"
Manatca,https://api.github.com/users/Manatca,https://github.com/Manatca,https://api.github.com/users/Manatca/repos,4,2,0,2,{'JavaScript'}
thomaskuhn,https://api.github.com/users/thomaskuhn,https://github.com/thomaskuhn,https://api.github.com/users/thomaskuhn/repos,3,0,0,0,set()
midnightcatz,https://api.github.com/users/midnightcatz,https://github.com/midnightcatz,https://api.github.com/users/midnightcatz/repos,3,0,0,0,set()
